iter	Passed	Remaining
482	582	623
483	583	622
484	584	620
485	585	618
486	586	617
487	586	615
488	587	614
489	588	612
490	589	611
491	590	609
492	591	608
493	592	606
494	593	605
495	594	603
496	595	602
497	596	600
498	596	599
499	597	597
500	598	596
501	599	594
502	600	593
503	601	591
504	602	590
505	603	588
506	603	587
507	604	585
508	605	584
509	606	582
510	607	581
511	608	579
512	609	578
513	610	576
514	611	575
515	611	573
516	612	572
517	613	570
518	614	569
519	615	567
520	616	566
521	617	565
522	617	563
523	619	562
524	620	561
525	621	560
526	622	558
527	623	557
528	624	556
529	625	554
530	626	553
531	627	551
532	627	550
533	629	549
534	630	547
535	631	546
536	632	544
537	632	543
538	633	542
539	634	540
540	635	539
541	636	537
542	637	536
543	638	534
544	639	533
545	639	532
546	640	530
547	641	529
548	642	527
549	643	526
550	644	525
551	645	524
552	646	522
553	647	521
554	648	520
555	649	518
556	650	517
557	651	515
558	652	514
559	653	513
560	653	511
561	654	510
562	655	508
563	656	507
564	657	506
565	658	504
566	659	503
567	661	502
568	662	501
569	663	500
570	664	499
571	665	498
572	667	497
573	668	495
574	669	494
575	670	493
576	671	492
577	672	490
578	673	489
579	674	488
580	675	486
581	676	485
582	677	484
583	678	482
584	678	481
585	679	480
586	680	479
587	681	477
588	682	476
589	683	474
590	684	473
591	685	472
592	686	471
593	687	469
594	688	468
595	689	467
596	689	465
597	690	464
598	691	462
599	692	461
600	693	460
601	694	458
602	695	457
603	696	456
604	696	454
605	697	453
606	698	452
607	699	451
608	700	449
609	701	448
610	702	447
611	703	445
612	704	444
613	704	443
614	705	441
615	706	440
616	707	439
617	708	437
618	709	436
619	710	435
620	710	433
621	712	432
622	714	432
623	715	431
624	716	430
625	718	429
626	719	427
627	720	426
628	721	425
629	722	424
630	723	423
631	724	422
632	726	421
633	727	419
634	728	418
635	729	417
636	730	416
637	731	415
638	732	413
639	733	412
640	734	411
641	735	410
642	736	409
643	738	407
644	739	406
645	740	405
646	741	404
647	742	403
648	744	402
649	745	401
650	746	399
651	747	398
652	748	397
653	749	396
654	750	395
655	751	394
656	752	393
657	754	391
658	755	390
659	756	389
660	757	388
661	758	387
662	759	386
663	760	384
664	761	383
665	763	382
666	764	381
667	765	380
668	766	379
669	767	378
670	769	377
671	770	376
672	771	374
673	772	373
674	773	372
675	774	371
676	775	370
677	777	369
678	778	367
679	778	366
680	779	365
681	781	364
682	782	363
683	783	361
684	784	360
685	785	359
686	786	358
687	787	357
688	788	355
689	789	354
690	790	353
691	791	352
692	792	351
693	793	349
694	794	348
695	795	347
696	797	346
697	798	345
698	799	344
699	800	343
700	801	341
701	802	340
702	803	339
703	804	338
704	805	337
705	807	336
706	808	334
707	809	333
708	810	332
709	811	331
710	812	330
711	813	328
712	814	327
713	815	326
714	816	325
715	816	324
716	818	322
717	819	321
718	819	320
719	820	319
720	821	318
721	823	316
722	824	315
723	825	314
724	826	313
725	827	312
726	829	311
727	830	310
728	831	309
729	832	307
730	833	306
731	834	305
732	835	304
733	836	303
734	837	301
735	838	300
736	839	299
737	840	298
738	841	297
739	842	295
740	843	294
741	844	293
742	846	292
743	847	291
744	848	290
745	849	289
746	850	288
747	851	286
748	852	285
749	854	284
750	855	283
751	856	282
752	857	281
753	858	280
754	859	278
755	860	277
756	861	276
757	862	275
758	863	274
759	863	272
760	864	271
761	865	270
762	866	269
763	867	268
764	868	266
765	869	265
766	870	264
767	871	263
768	872	261
769	872	260
770	873	259
771	874	258
772	875	257
773	876	255
774	877	254
775	878	253
776	879	252
777	880	251
778	882	250
779	883	249
780	884	247
781	885	246
782	886	245
783	887	244
784	887	243
785	888	241
786	889	240
787	890	239
788	891	238
789	892	237
790	893	236
791	894	234
792	895	233
793	895	232
794	896	231
795	897	230
796	898	228
797	899	227
798	900	226
799	901	225
800	902	224
801	903	223
802	904	221
803	905	220
804	906	219
805	907	218
806	908	217
807	909	216
808	910	214
809	911	213
810	912	212
811	912	211
812	913	210
813	914	209
814	915	207
815	916	206
816	917	205
817	918	204
818	919	203
819	920	201
820	921	200
821	922	199
822	922	198
823	923	197
824	924	196
825	925	195
826	926	193
827	927	192
828	928	191
829	929	190
830	930	189
831	932	188
832	933	187
833	934	185
834	935	184
835	936	183
836	937	182
837	939	181
838	939	180
839	940	179
840	941	178
841	942	176
842	943	175
843	944	174
844	945	173
845	946	172
846	947	171
847	947	169
848	948	168
849	949	167
850	950	166
851	951	165
852	952	164
853	953	163
854	954	161
855	955	160
856	956	159
857	957	158
858	958	157
859	959	156
860	960	155
861	961	153
862	962	152
863	962	151
864	963	150
865	964	149
866	965	148
867	966	146
868	967	145
869	968	144
870	969	143
871	969	142
872	970	141
873	971	140
874	972	138
875	973	137
876	974	136
877	975	135
878	976	134
879	977	133
880	978	132
881	979	131
882	980	129
883	981	128
884	982	127
885	983	126
886	983	125
887	984	124
888	985	123
889	986	121
890	987	120
891	988	119
892	989	118
893	990	117
894	991	116
895	992	115
896	993	114
897	994	112
898	994	111
899	995	110
900	996	109
901	997	108
902	998	107
903	999	106
904	1000	105
905	1001	103
906	1002	102
907	1003	101
908	1004	100
909	1004	99
910	1005	98
911	1006	97
912	1007	96
913	1008	94
914	1009	93
915	1010	92
916	1011	91
917	1011	90
918	1012	89
919	1013	88
920	1014	87
921	1015	85
922	1016	84
923	1016	83
924	1017	82
925	1018	81
926	1019	80
927	1020	79
928	1021	78
929	1022	76
930	1023	75
931	1023	74
932	1024	73
933	1025	72
934	1026	71
935	1027	70
936	1028	69
937	1029	68
938	1030	66
939	1031	65
940	1031	64
941	1032	63
942	1033	62
943	1034	61
944	1035	60
945	1036	59
946	1037	58
947	1038	56
948	1039	55
949	1040	54
950	1040	53
951	1041	52
952	1042	51
953	1043	50
954	1044	49
955	1045	48
956	1046	47
957	1047	45
958	1047	44
959	1048	43
960	1049	42
961	1050	41
962	1051	40
963	1052	39
964	1054	38
965	1055	37
966	1056	36
967	1058	34
968	1059	33
969	1060	32
970	1061	31
971	1062	30
972	1063	29
973	1064	28
974	1065	27
975	1066	26
976	1067	25
977	1068	24
978	1069	22
979	1070	21
980	1071	20
981	1071	19
982	1072	18
983	1073	17
984	1074	16
985	1075	15
986	1077	14
987	1077	13
988	1078	11
989	1079	10
990	1080	9
991	1081	8
992	1082	7
993	1083	6
994	1083	5
995	1084	4
996	1085	3
997	1086	2
998	1087	1
999	1088	0
